Concept,Label,Sub Class of,Definition,Note - how is this used in SAVVI?,Sources,Relationship,Object,Open Referral UK,Actions,,,,,,,,,,,,,,,,,,,,
savvi:Action,Action,sccm:Event,An action that has been carried out as a part of responding to a NEED.,,,by,savvi:DeliveryOrganisation,,,,,,,,,,,,,,,,,,,,,,
,,,,,,addresses,savvi:Need,,,,,,,,,,,,,,,,,,,,,,
savvi:Area,Area,sccm:Place,A geographic area,Can be useful to incorporate context information such as Indicies of Multiple Deprivation.,,,,,,,,,,,,,,,,,,,,,,,,,
savvi:Attribute,Attribute,sccm:State,A state of a person or household.,"Can be
* a circumstance
* a life event
* a risk
* a use of a service",,about,savvi:Person,,,,,,,,,,,,,,,,,,,,,,
,,,,,,about,savvi:Household,,,,,,,,,,,,,,,,,,,,,,
,,,,,,has,savvi:Provenance,,,,,,,,,,,,,,,,,,,,,,
savvi:Case,Case,cssm:Case,A container for information recording the history of events for a person or household who may have needs.,,,about,savvi:Person,,,,,,,,,,,,,,,,,,,,,,
,,,,,,about,savvi:Household,,,,,,,,,,,,,,,,,,,,,,
,,,,,,risk,savvi:RiskAssessment,,,,,,,,,,,,,,,,,,,,,,
,,,,,,assigned to,savvi:ResponsibleOrganisation,,,,,,,,,,,,,,,,,,,,,,
savvi:ContactEvent,Contact\nEvent,sccm:Observation,A record of an event in which the situation of a person or household was sought.,,,about,savvi:Case,,,,,,,,,,,,,,,,,,,,,,
,,,,,,passes info to,savvi:ResponsibleOrganisation,,,,,,,,,,,,,,,,,,,,,,
savvi:DeliveryOrganisation,Delivery\nOrganisation,sccm:Organisation,A service provider who delivers actions that respond to a NEED.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
savvi:Household,Household,sccm:Organisation,A collection of PERSONs who live together.,,https://dictionary.cambridge.org/dictionary/english/household ,resides at,savvi:Residence,,,,,,,,,,,,,,,,,,,,,,
,,,,,,contains,savvi:Person,,,,,,,,,,,,,,,,,,,,,,
savvi:LeadOrganisation,Lead\nOrganisation,sccm:Organization,An organisation responsible for coordinating a vulnerability initiative.,,,receives,savvi:Attribute,,,,,,,,,,,,,,,,,,,,,,
savvi:Need,Need,sccm:Objective,The need where assistance is required to mitigate a vulnerability.,,,about,savvi:Person,,,,,,,,,,,,,,,,,,,,,,
,,,,,,about,savvi:Household,,,,,,,,,,,,,,,,,,,,,,
,,,,,,case,savvi:Case,,,,,,,,,,,,,,,,,,,,,,
,,,,,,referred to,savvi:DeliveryOrganisation,,,,,,,,,,,,,,,,,,,,,,
savvi:Outcome,Outcome,sccm:State,"The resulting situation of a CASE, or a NEED",,,of,savvi:Case,,,,,,,,,,,,,,,,,,,,,,
,,,,,,of,savvi:Need,,,,,,,,,,,,,,,,,,,,,,
savvi:Person,Person,sccm:Person,"A Person who may be vulnerable, or who needs assistance.",,,,,,,,,,,,,,,,,,,,,,,,,,
savvi:Plan,Plan,sccm:Plan,A set of planned actions designed to respond to a NEED over a period.,,,about,savvi:Need,,,,,,,,,,,,,,,,,,,,,,
,,,,,,of,savvi:DeliveryOrganisation,,,,,,,,,,,,,,,,,,,,,,
savvi:Provenance,Provenance,sccm:Observation,A record of the steps taken to prepare a peice of data.,As a guide to authenticity and quality.,,,,,,,,,,,,,,,,,,,,,,,,,
savvi:Residence,Residence,sccm:Building,"A building, or a part of a building, designed to accommodate a single HOUSEHOLD.",,,in,savvi:Area,,,,,,,,,,,,,,,,,,,,,,
savvi:ResponsibleOrganisation,Responsible\nOrganisation,sccm:Organization,An organisation who is made responsible for a CASE.,,,,,,,,,,,,,,,,,,,,,,,,,,
savvi:RiskAssessment,Risk\nAssessment,sccm:Assumption,A Categorisation of the Risk of a PERSON or HOUSEHOLD.,,,by,savvi:LeadOrganisation,,,,,,,,,,,,,,,,,,,,,,
,,,,,,applies,savvi:StratificationPolicy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,uses,savvi:Attribute,,,,,,,,,,,,,,,,,,,,,,
savvi:SituationAssessment,Situation\nAssessment,sccm:State,An understanding of the situation of a PERSON or HOUSEHOLD as a result of a contact.,,,by,savvi:ResponsibleOrganisation,,,,,,,,,,,,,,,,,,,,,,
,,,,,,of,savvi:Case,,,,,,,,,,,,,,,,,,,,,,
savvi:SourceOrganisation,Source\nOrganisation,sccm:Organization,An organisation that provides ATTRIBUTE data,,,provides,savvi:Attribute,,,,,,,,,,,,,,,,,,,,,,
savvi:StratificationPolicy,Stratification\nPolicy,sccm:Rule,A definition of the rules by which Risk Categories will be determined,Applies rules to ATTRIBUTEs,,designed by,savvi:LeadOrganisation,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
